code,error_reason
sz.300750,候选字段不足或仓位测算后为 0
sh.688498,候选字段不足或仓位测算后为 0
sz.399689,候选字段不足或仓位测算后为 0
sz.399234,候选字段不足或仓位测算后为 0
sz.399680,候选字段不足或仓位测算后为 0
sz.300502,候选字段不足或仓位测算后为 0
sz.399622,候选字段不足或仓位测算后为 0
sz.399438,候选字段不足或仓位测算后为 0
sh.000112,候选字段不足或仓位测算后为 0
sz.399235,候选字段不足或仓位测算后为 0
sh.000113,候选字段不足或仓位测算后为 0
sz.399381,候选字段不足或仓位测算后为 0
sh.000079,候选字段不足或仓位测算后为 0
sh.000908,候选字段不足或仓位测算后为 0
sz.399390,候选字段不足或仓位测算后为 0
sz.399244,候选字段不足或仓位测算后为 0
sz.399678,候选字段不足或仓位测算后为 0
sh.000041,候选字段不足或仓位测算后为 0
sz.399365,候选字段不足或仓位测算后为 0
sz.399326,候选字段不足或仓位测算后为 0
sz.399410,候选字段不足或仓位测算后为 0
sh.000122,候选字段不足或仓位测算后为 0
sh.000040,候选字段不足或仓位测算后为 0
sz.399436,候选字段不足或仓位测算后为 0
sz.399358,候选字段不足或仓位测算后为 0
sz.399231,候选字段不足或仓位测算后为 0
sh.000114,候选字段不足或仓位测算后为 0
sz.399998,候选字段不足或仓位测算后为 0
sh.000072,候选字段不足或仓位测算后为 0
sz.399429,候选字段不足或仓位测算后为 0
sz.399435,候选字段不足或仓位测算后为 0
sh.000078,候选字段不足或仓位测算后为 0
sh.000917,候选字段不足或仓位测算后为 0
sz.399806,候选字段不足或仓位测算后为 0
sz.399636,候选字段不足或仓位测算后为 0
sh.000160,候选字段不足或仓位测算后为 0
sz.399991,候选字段不足或仓位测算后为 0
sz.399814,候选字段不足或仓位测算后为 0
sh.688802,候选字段不足或仓位测算后为 0
sh.000146,候选字段不足或仓位测算后为 0
sz.399359,候选字段不足或仓位测算后为 0
sh.000950,候选字段不足或仓位测算后为 0
sh.000025,候选字段不足或仓位测算后为 0
sz.399389,候选字段不足或仓位测算后为 0
sz.399412,候选字段不足或仓位测算后为 0
sz.399995,候选字段不足或仓位测算后为 0
sz.399556,候选字段不足或仓位测算后为 0
sh.000034,候选字段不足或仓位测算后为 0
sh.000910,候选字段不足或仓位测算后为 0
sz.399639,候选字段不足或仓位测算后为 0
sz.399363,候选字段不足或仓位测算后为 0
sh.000827,候选字段不足或仓位测算后为 0
sz.399602,候选字段不足或仓位测算后为 0
sz.399664,候选字段不足或仓位测算后为 0
sz.399428,候选字段不足或仓位测算后为 0
sh.000097,候选字段不足或仓位测算后为 0
sz.399808,候选字段不足或仓位测算后为 0
sz.399630,候选字段不足或仓位测算后为 0
sz.399628,候选字段不足或仓位测算后为 0
sz.399383,候选字段不足或仓位测算后为 0
sz.399615,候选字段不足或仓位测算后为 0
sz.399629,候选字段不足或仓位测算后为 0
sh.000851,候选字段不足或仓位测算后为 0
sh.000161,候选字段不足或仓位测算后为 0
sz.399620,候选字段不足或仓位测算后为 0
sz.399705,候选字段不足或仓位测算后为 0
sz.399662,候选字段不足或仓位测算后为 0
sz.399339,候选字段不足或仓位测算后为 0
sz.399670,候选字段不足或仓位测算后为 0
sh.000149,候选字段不足或仓位测算后为 0
sz.399687,候选字段不足或仓位测算后为 0
sz.399315,候选字段不足或仓位测算后为 0
sh.000152,候选字段不足或仓位测算后为 0
sz.399551,候选字段不足或仓位测算后为 0
sz.399233,候选字段不足或仓位测算后为 0
sz.399626,候选字段不足或仓位测算后为 0
sz.399346,候选字段不足或仓位测算后为 0
sz.399642,候选字段不足或仓位测算后为 0
sh.000007,候选字段不足或仓位测算后为 0
sz.399608,候选字段不足或仓位测算后为 0
sz.399807,候选字段不足或仓位测算后为 0
sz.399627,候选字段不足或仓位测算后为 0
sz.399610,候选字段不足或仓位测算后为 0
sz.399621,候选字段不足或仓位测算后为 0
sz.399320,候选字段不足或仓位测算后为 0
sz.399992,候选字段不足或仓位测算后为 0
sz.399604,候选字段不足或仓位测算后为 0
sh.000153,候选字段不足或仓位测算后为 0
sz.399333,候选字段不足或仓位测算后为 0
sz.399005,候选字段不足或仓位测算后为 0
sz.399407,候选字段不足或仓位测算后为 0
sh.000020,候选字段不足或仓位测算后为 0
sh.000136,候选字段不足或仓位测算后为 0
sh.000133,候选字段不足或仓位测算后为 0
sh.000106,候选字段不足或仓位测算后为 0
sz.399337,候选字段不足或仓位测算后为 0
sz.399679,候选字段不足或仓位测算后为 0
sz.399009,候选字段不足或仓位测算后为 0
sh.000091,候选字段不足或仓位测算后为 0
sz.399008,候选字段不足或仓位测算后为 0
sz.399669,候选字段不足或仓位测算后为 0
sz.399688,候选字段不足或仓位测算后为 0
sz.399623,候选字段不足或仓位测算后为 0
sz.399013,候选字段不足或仓位测算后为 0
sz.399641,候选字段不足或仓位测算后为 0
sz.399303,候选字段不足或仓位测算后为 0
sz.399106,候选字段不足或仓位测算后为 0
sz.399107,候选字段不足或仓位测算后为 0
sz.399666,候选字段不足或仓位测算后为 0
sz.399401,候选字段不足或仓位测算后为 0
sz.399344,候选字段不足或仓位测算后为 0
sz.399007,候选字段不足或仓位测算后为 0
sz.399001,候选字段不足或仓位测算后为 0
sz.399002,候选字段不足或仓位测算后为 0
sz.399415,候选字段不足或仓位测算后为 0
sz.399011,候选字段不足或仓位测算后为 0
sh.000852,候选字段不足或仓位测算后为 0
sz.399100,候选字段不足或仓位测算后为 0
sz.399101,候选字段不足或仓位测算后为 0
sz.399010,候选字段不足或仓位测算后为 0
sz.399663,候选字段不足或仓位测算后为 0
sz.399015,候选字段不足或仓位测算后为 0
sz.399625,候选字段不足或仓位测算后为 0
sz.399634,候选字段不足或仓位测算后为 0
sh.000129,候选字段不足或仓位测算后为 0
sz.399659,候选字段不足或仓位测算后为 0
sh.000853,候选字段不足或仓位测算后为 0
sh.000051,候选字段不足或仓位测算后为 0
sz.399417,候选字段不足或仓位测算后为 0
sh.000939,候选字段不足或仓位测算后为 0
sz.399624,候选字段不足或仓位测算后为 0
sh.000042,候选字段不足或仓位测算后为 0
sh.000856,候选字段不足或仓位测算后为 0
sh.000049,候选字段不足或仓位测算后为 0
sz.399665,候选字段不足或仓位测算后为 0
sh.000125,候选字段不足或仓位测算后为 0
sz.399813,候选字段不足或仓位测算后为 0
sz.399317,候选字段不足或仓位测算后为 0
sz.399631,候选字段不足或仓位测算后为 0
sz.399316,候选字段不足或仓位测算后为 0
sz.399632,候选字段不足或仓位测算后为 0
sz.399392,候选字段不足或仓位测算后为 0
sz.399388,候选字段不足或仓位测算后为 0
sz.399311,候选字段不足或仓位测算后为 0
sz.399312,候选字段不足或仓位测算后为 0
sh.000031,候选字段不足或仓位测算后为 0
sz.399400,候选字段不足或仓位测算后为 0
