date,cash,position,market_value,equity
2020-01-03,100000.0,0,0.0,100000.0
2020-01-06,100000.0,0,0.0,100000.0
2020-01-07,100000.0,0,0.0,100000.0
2020-01-08,100000.0,0,0.0,100000.0
2020-01-09,100000.0,0,0.0,100000.0
2020-01-10,100000.0,0,0.0,100000.0
2020-01-13,100000.0,0,0.0,100000.0
2020-01-14,100000.0,0,0.0,100000.0
2020-01-15,100000.0,0,0.0,100000.0
2020-01-16,100000.0,0,0.0,100000.0
2020-01-17,100000.0,0,0.0,100000.0
2020-01-20,100000.0,0,0.0,100000.0
2020-01-21,100000.0,0,0.0,100000.0
2020-01-22,100000.0,0,0.0,100000.0
2020-01-23,100000.0,0,0.0,100000.0
2020-02-03,100000.0,0,0.0,100000.0
2020-02-04,100000.0,0,0.0,100000.0
2020-02-05,100000.0,0,0.0,100000.0
2020-02-06,100000.0,0,0.0,100000.0
2020-02-07,100000.0,0,0.0,100000.0
2020-02-10,100000.0,0,0.0,100000.0
2020-02-11,100000.0,0,0.0,100000.0
2020-02-12,100000.0,0,0.0,100000.0
2020-02-13,100000.0,0,0.0,100000.0
2020-02-14,60.03,48500,99910.0,99970.03
2020-02-17,60.03,48500,103305.0,103365.03
2020-02-18,60.03,48500,104275.0,104335.03
2020-02-19,60.03,48500,102820.0,102880.03
2020-02-20,60.03,48500,105245.0,105305.03
2020-02-21,60.03,48500,105730.0,105790.03
2020-02-24,60.03,48500,103305.0,103365.03
2020-02-25,60.03,48500,100395.0,100455.03
2020-02-26,60.03,48500,102820.0,102880.03
2020-02-27,60.03,48500,102335.0,102395.03
2020-02-28,99840.14,0,0.0,99840.14
2020-03-02,99840.14,0,0.0,99840.14
2020-03-03,99840.14,0,0.0,99840.14
2020-03-04,99840.14,0,0.0,99840.14
2020-03-05,99840.14,0,0.0,99840.14
2020-03-06,99840.14,0,0.0,99840.14
2020-03-09,139.24,45100,96514.0,96653.24
2020-03-10,139.24,45100,98769.0,98908.24
2020-03-11,139.24,45100,97416.0,97555.24
2020-03-12,139.24,45100,95161.0,95300.24
2020-03-13,139.24,45100,94710.0,94849.24
2020-03-16,96077.36,0,0.0,96077.36
2020-03-17,96077.36,0,0.0,96077.36
2020-03-18,96077.36,0,0.0,96077.36
2020-03-19,96077.36,0,0.0,96077.36
2020-03-20,96077.36,0,0.0,96077.36
2020-03-23,96077.36,0,0.0,96077.36
2020-03-24,96077.36,0,0.0,96077.36
2020-03-25,96077.36,0,0.0,96077.36
2020-03-26,96077.36,0,0.0,96077.36
2020-03-27,96077.36,0,0.0,96077.36
2020-03-30,96077.36,0,0.0,96077.36
2020-03-31,96077.36,0,0.0,96077.36
2020-04-01,96077.36,0,0.0,96077.36
2020-04-02,96077.36,0,0.0,96077.36
2020-04-03,96077.36,0,0.0,96077.36
2020-04-07,96077.36,0,0.0,96077.36
2020-04-08,96077.36,0,0.0,96077.36
2020-04-09,96077.36,0,0.0,96077.36
2020-04-10,117.58,45900,94095.0,94212.58
2020-04-13,117.58,45900,92718.0,92835.58
2020-04-14,117.58,45900,93636.0,93753.58
2020-04-15,117.58,45900,92259.0,92376.58
2020-04-16,117.58,45900,92259.0,92376.58
2020-04-17,92256.64,0,0.0,92256.64
2020-04-20,92256.64,0,0.0,92256.64
2020-04-21,92256.64,0,0.0,92256.64
2020-04-22,92256.64,0,0.0,92256.64
2020-04-23,92256.64,0,0.0,92256.64
2020-04-24,92256.64,0,0.0,92256.64
2020-04-27,92256.64,0,0.0,92256.64
2020-04-28,92256.64,0,0.0,92256.64
2020-04-29,92256.64,0,0.0,92256.64
2020-04-30,92256.64,0,0.0,92256.64
2020-05-06,92256.64,0,0.0,92256.64
2020-05-07,92256.64,0,0.0,92256.64
2020-05-08,92256.64,0,0.0,92256.64
2020-05-11,92256.64,0,0.0,92256.64
2020-05-12,92256.64,0,0.0,92256.64
2020-05-13,92256.64,0,0.0,92256.64
2020-05-14,137.02,50600,91080.0,91217.02
2020-05-15,137.02,50600,93610.0,93747.02
2020-05-18,93625.32,0,0.0,93625.32
2020-05-19,93625.32,0,0.0,93625.32
2020-05-20,93625.32,0,0.0,93625.32
2020-05-21,93625.32,0,0.0,93625.32
2020-05-22,93625.32,0,0.0,93625.32
2020-05-25,93625.32,0,0.0,93625.32
2020-05-26,93625.32,0,0.0,93625.32
2020-05-27,93625.32,0,0.0,93625.32
2020-05-28,93625.32,0,0.0,93625.32
2020-05-29,93625.32,0,0.0,93625.32
2020-06-01,93625.32,0,0.0,93625.32
2020-06-02,177.3,51900,94458.0,94635.3
2020-06-03,177.3,51900,94458.0,94635.3
2020-06-04,177.3,51900,96534.0,96711.3
2020-06-05,177.3,51900,96015.0,96192.3
2020-06-08,177.3,51900,94977.0,95154.3
2020-06-09,177.3,51900,96015.0,96192.3
2020-06-10,177.3,51900,94977.0,95154.3
2020-06-11,177.3,51900,93939.0,94116.3
2020-06-12,177.3,51900,92901.0,93078.3
2020-06-15,92439.2,0,0.0,92439.2
2020-06-16,92439.2,0,0.0,92439.2
2020-06-17,92439.2,0,0.0,92439.2
2020-06-18,92439.2,0,0.0,92439.2
2020-06-19,203.54,45200,93112.0,93315.54
2020-06-22,203.54,45200,85880.0,86083.54
2020-06-23,203.54,45200,84976.0,85179.54
2020-06-24,203.54,45200,83620.0,83823.54
2020-06-29,203.54,45200,82264.0,82467.54
2020-06-30,203.54,45200,82716.0,82919.54
2020-07-01,82812.01,0,0.0,82812.01
2020-07-02,82812.01,0,0.0,82812.01
2020-07-03,82812.01,0,0.0,82812.01
2020-07-06,82812.01,0,0.0,82812.01
2020-07-07,5.17,37800,78246.0,78251.17
2020-07-08,5.17,37800,79380.0,79385.17
2020-07-09,5.17,37800,83160.0,83165.17
2020-07-10,5.17,37800,79380.0,79385.17
2020-07-13,5.17,37800,81270.0,81275.17
2020-07-14,5.17,37800,83160.0,83165.17
2020-07-15,5.17,37800,79758.0,79763.17
2020-07-16,5.17,37800,77112.0,77117.17
2020-07-17,5.17,37800,75978.0,75983.17
2020-07-20,75884.4,0,0.0,75884.4
2020-07-21,75884.4,0,0.0,75884.4
2020-07-22,75884.4,0,0.0,75884.4
2020-07-23,75884.4,0,0.0,75884.4
2020-07-24,75884.4,0,0.0,75884.4
2020-07-27,75884.4,0,0.0,75884.4
2020-07-28,75884.4,0,0.0,75884.4
2020-07-29,75884.4,0,0.0,75884.4
2020-07-30,75884.4,0,0.0,75884.4
2020-07-31,75884.4,0,0.0,75884.4
2020-08-03,75884.4,0,0.0,75884.4
2020-08-04,75884.4,0,0.0,75884.4
2020-08-05,75884.4,0,0.0,75884.4
2020-08-06,111.68,37500,75750.0,75861.68
2020-08-07,111.68,37500,73875.0,73986.68
2020-08-10,111.68,37500,75000.0,75111.68
2020-08-11,111.68,37500,73875.0,73986.68
2020-08-12,73890.64,0,0.0,73890.64
2020-08-13,73890.64,0,0.0,73890.64
2020-08-14,73890.64,0,0.0,73890.64
2020-08-17,73890.64,0,0.0,73890.64
2020-08-18,73890.64,0,0.0,73890.64
2020-08-19,18.48,35000,74550.0,74568.48
2020-08-20,18.48,35000,72800.0,72818.48
2020-08-21,18.48,35000,72800.0,72818.48
2020-08-24,18.48,35000,71750.0,71768.48
2020-08-25,18.48,35000,71050.0,71068.48
2020-08-26,18.48,35000,69650.0,69668.48
2020-08-27,69577.94,0,0.0,69577.94
2020-08-28,69577.94,0,0.0,69577.94
2020-08-31,69577.94,0,0.0,69577.94
2020-09-01,69577.94,0,0.0,69577.94
2020-09-02,69577.94,0,0.0,69577.94
2020-09-03,69577.94,0,0.0,69577.94
2020-09-04,69577.94,0,0.0,69577.94
2020-09-07,69577.94,0,0.0,69577.94
2020-09-08,11.08,34600,76466.0,76477.08
2020-09-09,11.08,34600,84078.0,84089.08
2020-09-10,11.08,34600,75774.0,75785.08
2020-09-11,11.08,34600,71622.0,71633.08
2020-09-14,11.08,34600,73352.0,73363.08
2020-09-15,11.08,34600,71968.0,71979.08
2020-09-16,11.08,34600,71276.0,71287.08
2020-09-17,70848.87,0,0.0,70848.87
2020-09-18,70848.87,0,0.0,70848.87
2020-09-21,70848.87,0,0.0,70848.87
2020-09-22,70848.87,0,0.0,70848.87
2020-09-23,70848.87,0,0.0,70848.87
2020-09-24,70848.87,0,0.0,70848.87
2020-09-25,70848.87,0,0.0,70848.87
2020-09-28,70848.87,0,0.0,70848.87
2020-09-29,70848.87,0,0.0,70848.87
2020-09-30,70848.87,0,0.0,70848.87
2020-10-09,70848.87,0,0.0,70848.87
2020-10-12,70848.87,0,0.0,70848.87
2020-10-13,19.62,33400,70808.0,70827.62
2020-10-14,19.62,33400,72144.0,72163.62
2020-10-15,19.62,33400,72812.0,72831.62
2020-10-16,19.62,33400,74816.0,74835.62
2020-10-19,19.62,33400,71476.0,71495.62
2020-10-20,19.62,33400,71476.0,71495.62
2020-10-21,19.62,33400,70808.0,70827.62
2020-10-22,19.62,33400,70474.0,70493.62
2020-10-23,19.62,33400,68136.0,68155.62
2020-10-26,68400.61,0,0.0,68400.61
2020-10-27,68400.61,0,0.0,68400.61
2020-10-28,68400.61,0,0.0,68400.61
2020-10-29,68400.61,0,0.0,68400.61
2020-10-30,68400.61,0,0.0,68400.61
2020-11-02,68400.61,0,0.0,68400.61
2020-11-03,68400.61,0,0.0,68400.61
2020-11-04,68400.61,0,0.0,68400.61
2020-11-05,68400.61,0,0.0,68400.61
2020-11-06,37.11,32700,69324.0,69361.11
2020-11-09,37.11,32700,69978.0,70015.11
2020-11-10,37.11,32700,71940.0,71977.11
2020-11-11,37.11,32700,75537.0,75574.11
2020-11-12,37.11,32700,71940.0,71977.11
2020-11-13,37.11,32700,70305.0,70342.11
2020-11-16,37.11,32700,77499.0,77536.11
2020-11-17,37.11,32700,81096.0,81133.11
2020-11-18,37.11,32700,81096.0,81133.11
2020-11-19,37.11,32700,76518.0,76555.11
2020-11-20,37.11,32700,84039.0,84076.11
2020-11-23,37.11,32700,92541.0,92578.11
2020-11-24,37.11,32700,101697.0,101734.11
2020-11-25,37.11,32700,111834.0,111871.11
2020-11-26,37.11,32700,100716.0,100753.11
2020-11-27,37.11,32700,110853.0,110890.11
2020-11-30,37.11,32700,121971.0,122008.11
2020-12-01,37.11,32700,134070.0,134107.11
2020-12-02,37.11,32700,147477.0,147514.11
2020-12-03,37.11,32700,154344.0,154381.11
2020-12-04,37.11,32700,138975.0,139012.11
2020-12-07,37.11,32700,140283.0,140320.11
2020-12-08,37.11,32700,146823.0,146860.11
2020-12-09,37.11,32700,161538.0,161575.11
2020-12-10,37.11,32700,154671.0,154708.11
2020-12-11,37.11,32700,163173.0,163210.11
2020-12-14,37.11,32700,158595.0,158632.11
2020-12-15,37.11,32700,149766.0,149803.11
2020-12-16,37.11,32700,136032.0,136069.11
2020-12-17,37.11,32700,143880.0,143917.11
2020-12-18,37.11,32700,158268.0,158305.11
2020-12-21,162997.99,0,0.0,162997.99
2020-12-22,162997.99,0,0.0,162997.99
2020-12-23,319.2,27800,179032.0,179351.2
2020-12-24,319.2,27800,196824.0,197143.2
2020-12-25,319.2,27800,216562.0,216881.2
2020-12-28,319.2,27800,238246.0,238565.2
2020-12-29,319.2,27800,228516.0,228835.2
2020-12-30,319.2,27800,251312.0,251631.2
2020-12-31,319.2,27800,259096.0,259415.2
2021-01-04,319.2,27800,254092.0,254411.2
2021-01-05,319.2,27800,234632.0,234951.2
2021-01-06,319.2,27800,242416.0,242735.2
2021-01-07,319.2,27800,230184.0,230503.2
2021-01-08,319.2,27800,231852.0,232171.2
2021-01-11,225206.46,0,0.0,225206.46
2021-01-12,225206.46,0,0.0,225206.46
2021-01-13,225206.46,0,0.0,225206.46
2021-01-14,225206.46,0,0.0,225206.46
2021-01-15,225206.46,0,0.0,225206.46
2021-01-18,225206.46,0,0.0,225206.46
2021-01-19,225206.46,0,0.0,225206.46
2021-01-20,225206.46,0,0.0,225206.46
2021-01-21,225206.46,0,0.0,225206.46
2021-01-22,225206.46,0,0.0,225206.46
2021-01-25,225206.46,0,0.0,225206.46
2021-01-26,225206.46,0,0.0,225206.46
2021-01-27,225206.46,0,0.0,225206.46
2021-01-28,225206.46,0,0.0,225206.46
2021-01-29,225206.46,0,0.0,225206.46
2021-02-01,225206.46,0,0.0,225206.46
2021-02-02,225206.46,0,0.0,225206.46
2021-02-03,225206.46,0,0.0,225206.46
2021-02-04,225206.46,0,0.0,225206.46
2021-02-05,225206.46,0,0.0,225206.46
2021-02-08,225206.46,0,0.0,225206.46
2021-02-09,225206.46,0,0.0,225206.46
2021-02-10,225206.46,0,0.0,225206.46
2021-02-18,225206.46,0,0.0,225206.46
2021-02-19,225206.46,0,0.0,225206.46
2021-02-22,225206.46,0,0.0,225206.46
2021-02-23,225206.46,0,0.0,225206.46
2021-02-24,225206.46,0,0.0,225206.46
2021-02-25,30.93,48100,230880.0,230910.93
2021-02-26,225807.04,0,0.0,225807.04
2021-03-01,225807.04,0,0.0,225807.04
2021-03-02,225807.04,0,0.0,225807.04
2021-03-03,225807.04,0,0.0,225807.04
2021-03-04,225807.04,0,0.0,225807.04
2021-03-05,225807.04,0,0.0,225807.04
2021-03-08,283.4,36600,236436.0,236719.4
2021-03-09,283.4,36600,260226.0,260509.4
2021-03-10,283.4,36600,254004.0,254287.4
2021-03-11,283.4,36600,242658.0,242941.4
2021-03-12,283.4,36600,266814.0,267097.4
2021-03-15,283.4,36600,240828.0,241111.4
2021-03-16,283.4,36600,236436.0,236719.4
2021-03-17,283.4,36600,243756.0,244039.4
2021-03-18,283.4,36600,226920.0,227203.4
2021-03-19,283.4,36600,221796.0,222079.4
2021-03-22,219963.45,0,0.0,219963.45
2021-03-23,219963.45,0,0.0,219963.45
2021-03-24,219963.45,0,0.0,219963.45
2021-03-25,219963.45,0,0.0,219963.45
2021-03-26,219963.45,0,0.0,219963.45
2021-03-29,219963.45,0,0.0,219963.45
2021-03-30,219963.45,0,0.0,219963.45
2021-03-31,219963.45,0,0.0,219963.45
2021-04-01,219963.45,0,0.0,219963.45
2021-04-02,219963.45,0,0.0,219963.45
2021-04-06,219963.45,0,0.0,219963.45
2021-04-07,219963.45,0,0.0,219963.45
2021-04-08,510.63,33700,205907.0,206417.63
2021-04-09,510.63,33700,199167.0,199677.63
2021-04-12,510.63,33700,204559.0,205069.63
2021-04-13,510.63,33700,190742.0,191252.63
2021-04-14,510.63,33700,188720.0,189230.63
2021-04-15,510.63,33700,194449.0,194959.63
2021-04-16,510.63,33700,194112.0,194622.63
2021-04-19,191341.23,0,0.0,191341.23
2021-04-20,191341.23,0,0.0,191341.23
2021-04-21,191341.23,0,0.0,191341.23
2021-04-22,191341.23,0,0.0,191341.23
2021-04-23,191341.23,0,0.0,191341.23
2021-04-26,191341.23,0,0.0,191341.23
2021-04-27,191341.23,0,0.0,191341.23
2021-04-28,191341.23,0,0.0,191341.23
2021-04-29,191341.23,0,0.0,191341.23
2021-04-30,191341.23,0,0.0,191341.23
2021-05-06,191341.23,0,0.0,191341.23
2021-05-07,191341.23,0,0.0,191341.23
2021-05-10,191341.23,0,0.0,191341.23
2021-05-11,123.88,32400,199908.0,200031.88
2021-05-12,123.88,32400,196668.0,196791.88
2021-05-13,123.88,32400,192456.0,192579.88
2021-05-14,123.88,32400,186624.0,186747.88
2021-05-17,123.88,32400,181764.0,181887.88
2021-05-18,123.88,32400,183384.0,183507.88
2021-05-19,123.88,32400,185328.0,185451.88
2021-05-20,178092.22,0,0.0,178092.22
2021-05-21,178092.22,0,0.0,178092.22
2021-05-24,178092.22,0,0.0,178092.22
2021-05-25,178092.22,0,0.0,178092.22
2021-05-26,178092.22,0,0.0,178092.22
2021-05-27,178092.22,0,0.0,178092.22
2021-05-28,558.98,30600,173502.0,174060.98
2021-05-31,558.98,30600,173502.0,174060.98
2021-06-01,558.98,30600,177786.0,178344.98
2021-06-02,558.98,30600,184212.0,184770.98
2021-06-03,558.98,30600,202572.0,203130.98
2021-06-04,558.98,30600,183906.0,184464.98
2021-06-07,558.98,30600,181764.0,182322.98
2021-06-08,558.98,30600,177786.0,178344.98
2021-06-09,558.98,30600,185742.0,186300.98
2021-06-10,558.98,30600,180234.0,180792.98
2021-06-11,180558.67,0,0.0,180558.67
2021-06-15,180558.67,0,0.0,180558.67
2021-06-16,180558.67,0,0.0,180558.67
2021-06-17,180558.67,0,0.0,180558.67
2021-06-18,180558.67,0,0.0,180558.67
2021-06-21,180558.67,0,0.0,180558.67
2021-06-22,180558.67,0,0.0,180558.67
2021-06-23,180558.67,0,0.0,180558.67
2021-06-24,180558.67,0,0.0,180558.67
2021-06-25,180558.67,0,0.0,180558.67
2021-06-28,180558.67,0,0.0,180558.67
2021-06-29,180558.67,0,0.0,180558.67
2021-06-30,180558.67,0,0.0,180558.67
2021-07-01,180558.67,0,0.0,180558.67
2021-07-02,180558.67,0,0.0,180558.67
2021-07-05,180558.67,0,0.0,180558.67
2021-07-06,180558.67,0,0.0,180558.67
2021-07-07,180558.67,0,0.0,180558.67
2021-07-08,180558.67,0,0.0,180558.67
2021-07-09,180558.67,0,0.0,180558.67
2021-07-12,304.61,34000,180540.0,180844.61
2021-07-13,304.61,34000,185980.0,186284.61
2021-07-14,304.61,34000,190400.0,190704.61
2021-07-15,304.61,34000,184280.0,184584.61
2021-07-16,304.61,34000,184620.0,184924.61
2021-07-19,304.61,34000,187340.0,187644.61
2021-07-20,304.61,34000,183260.0,183564.61
2021-07-21,304.61,34000,180540.0,180844.61
2021-07-22,304.61,34000,180880.0,181184.61
2021-07-23,180949.47,0,0.0,180949.47
2021-07-26,180949.47,0,0.0,180949.47
2021-07-27,180949.47,0,0.0,180949.47
2021-07-28,180949.47,0,0.0,180949.47
2021-07-29,180949.47,0,0.0,180949.47
2021-07-30,180949.47,0,0.0,180949.47
2021-08-02,180949.47,0,0.0,180949.47
2021-08-03,180949.47,0,0.0,180949.47
2021-08-04,180949.47,0,0.0,180949.47
2021-08-05,180949.47,0,0.0,180949.47
2021-08-06,180949.47,0,0.0,180949.47
2021-08-09,180949.47,0,0.0,180949.47
2021-08-10,180949.47,0,0.0,180949.47
2021-08-11,220.27,36500,185785.0,186005.27
2021-08-12,220.27,36500,183960.0,184180.27
2021-08-13,220.27,36500,183595.0,183815.27
2021-08-16,220.27,36500,184690.0,184910.27
2021-08-17,220.27,36500,178120.0,178340.27
2021-08-18,220.27,36500,178850.0,179070.27
2021-08-19,220.27,36500,175930.0,176150.27
2021-08-20,177015.13,0,0.0,177015.13
2021-08-23,177015.13,0,0.0,177015.13
2021-08-24,177015.13,0,0.0,177015.13
2021-08-25,177015.13,0,0.0,177015.13
2021-08-26,177015.13,0,0.0,177015.13
2021-08-27,317.14,34300,177674.0,177991.14
2021-08-30,317.14,34300,182819.0,183136.14
2021-08-31,317.14,34300,192423.0,192740.14
2021-09-01,317.14,34300,182476.0,182793.14
2021-09-02,317.14,34300,192423.0,192740.14
2021-09-03,317.14,34300,185563.0,185880.14
2021-09-06,317.14,34300,184534.0,184851.14
2021-09-07,317.14,34300,193452.0,193769.14
2021-09-08,317.14,34300,209230.0,209547.14
2021-09-09,317.14,34300,216090.0,216407.14
2021-09-10,317.14,34300,204771.0,205088.14
2021-09-13,317.14,34300,206829.0,207146.14
2021-09-14,317.14,34300,199626.0,199943.14
2021-09-15,317.14,34300,205114.0,205431.14
2021-09-16,317.14,34300,202713.0,203030.14
2021-09-17,317.14,34300,195167.0,195484.14
2021-09-22,317.14,34300,207858.0,208175.14
2021-09-23,213385.79,0,0.0,213385.79
2021-09-24,213385.79,0,0.0,213385.79
2021-09-27,213385.79,0,0.0,213385.79
2021-09-28,213385.79,0,0.0,213385.79
2021-09-29,213385.79,0,0.0,213385.79
2021-09-30,213385.79,0,0.0,213385.79
2021-10-08,213385.79,0,0.0,213385.79
2021-10-11,213385.79,0,0.0,213385.79
2021-10-12,534.95,33300,207126.0,207660.95
2021-10-13,534.95,33300,193140.0,193674.95
2021-10-14,534.95,33300,187479.0,188013.95
2021-10-15,534.95,33300,189477.0,190011.95
2021-10-18,534.95,33300,207459.0,207993.95
2021-10-19,207391.69,0,0.0,207391.69
2021-10-20,207391.69,0,0.0,207391.69
2021-10-21,207391.69,0,0.0,207391.69
2021-10-22,207391.69,0,0.0,207391.69
2021-10-25,207391.69,0,0.0,207391.69
2021-10-26,207391.69,0,0.0,207391.69
2021-10-27,207391.69,0,0.0,207391.69
2021-10-28,207391.69,0,0.0,207391.69
2021-10-29,207391.69,0,0.0,207391.69
2021-11-01,207391.69,0,0.0,207391.69
2021-11-02,207391.69,0,0.0,207391.69
2021-11-03,207391.69,0,0.0,207391.69
2021-11-04,207391.69,0,0.0,207391.69
2021-11-05,207391.69,0,0.0,207391.69
2021-11-08,207391.69,0,0.0,207391.69
2021-11-09,207391.69,0,0.0,207391.69
2021-11-10,207391.69,0,0.0,207391.69
2021-11-11,207391.69,0,0.0,207391.69
2021-11-12,207391.69,0,0.0,207391.69
2021-11-15,207391.69,0,0.0,207391.69
2021-11-16,207391.69,0,0.0,207391.69
2021-11-17,207391.69,0,0.0,207391.69
2021-11-18,207391.69,0,0.0,207391.69
2021-11-19,207391.69,0,0.0,207391.69
2021-11-22,207391.69,0,0.0,207391.69
2021-11-23,207391.69,0,0.0,207391.69
2021-11-24,482.64,42300,208116.0,208598.64
2021-11-25,482.64,42300,204732.0,205214.64
2021-11-26,482.64,42300,201348.0,201830.64
2021-11-29,482.64,42300,199656.0,200138.64
2021-11-30,482.64,42300,201348.0,201830.64
2021-12-01,201568.88,0,0.0,201568.88
2021-12-02,201568.88,0,0.0,201568.88
2021-12-03,201568.88,0,0.0,201568.88
2021-12-06,201568.88,0,0.0,201568.88
2021-12-07,201568.88,0,0.0,201568.88
2021-12-08,32.44,41800,200640.0,200672.44
2021-12-09,32.44,41800,203148.0,203180.44
2021-12-10,32.44,41800,202312.0,202344.44
2021-12-13,32.44,41800,203566.0,203598.44
2021-12-14,32.44,41800,201476.0,201508.44
2021-12-15,32.44,41800,203148.0,203180.44
2021-12-16,32.44,41800,219450.0,219482.44
2021-12-17,32.44,41800,211926.0,211958.44
2021-12-20,32.44,41800,206910.0,206942.44
2021-12-21,32.44,41800,209000.0,209032.44
2021-12-22,32.44,41800,206910.0,206942.44
2021-12-23,32.44,41800,208582.0,208614.44
2021-12-24,32.44,41800,204402.0,204434.44
2021-12-27,204168.72,0,0.0,204168.72
2021-12-28,204168.72,0,0.0,204168.72
2021-12-29,204168.72,0,0.0,204168.72
2021-12-30,204168.72,0,0.0,204168.72
2021-12-31,204168.72,0,0.0,204168.72
2022-01-04,204168.72,0,0.0,204168.72
2022-01-05,204168.72,0,0.0,204168.72
2022-01-06,204168.72,0,0.0,204168.72
2022-01-07,281.57,42200,204670.0,204951.57
2022-01-10,281.57,42200,204670.0,204951.57
2022-01-11,281.57,42200,203404.0,203685.57
2022-01-12,281.57,42200,202982.0,203263.57
2022-01-13,202999.69,0,0.0,202999.69
2022-01-14,202999.69,0,0.0,202999.69
2022-01-17,202999.69,0,0.0,202999.69
2022-01-18,202999.69,0,0.0,202999.69
2022-01-19,202999.69,0,0.0,202999.69
2022-01-20,202999.69,0,0.0,202999.69
2022-01-21,202999.69,0,0.0,202999.69
2022-01-24,202999.69,0,0.0,202999.69
